subj	itemID	cond	Acc
S08	i113	UD	1
S08	i114	UD	1
S08	i115	UC	1
S08	i116	UC	1
S08	i117	UD	1
S08	i118	UC	1
S08	i119	RD	1
S08	i120	RC	1
S09	i001	UD	0
S09	i002	RD	1
S09	i003	UC	1
S09	i004	RD	1
S09	i005	RD	1
S09	i006	UC	1
S09	i007	RD	1
S09	i008	UD	1
S09	i009	RC	1
S09	i010	UD	1
S09	i011	UC	1
S09	i012	RD	1
S09	i013	UD	1
S09	i014	RC	1
S09	i015	UC	1
S09	i016	RD	1
S09	i017	UC	1
S09	i018	RD	1
S09	i019	RD	1
S09	i020	UD	1
S09	i021	UC	1
S09	i022	UD	1
S09	i023	RD	1
S09	i024	RC	1
S09	i025	UD	1
S09	i026	RD	1
S09	i027	RD	1
S09	i028	UD	1
S09	i029	UC	1
S09	i030	RC	1
S09	i031	RD	0
S09	i032	RD	1
S09	i033	UD	1
S09	i034	RC	1
S09	i035	RC	1
S09	i036	RC	1
S09	i037	RC	1
S09	i038	RC	1
S09	i039	RC	1
S09	i040	UC	1
S09	i041	UD	0
S09	i042	UC	1
S09	i043	UC	1
S09	i044	RC	1
S09	i045	UD	1
S09	i046	RC	1
S09	i047	RD	1
S09	i048	UC	1
S09	i049	RC	1
S09	i050	RC	1
S09	i051	UC	1
S09	i052	UC	1
S09	i053	RC	1
S09	i054	UD	1
S09	i055	UD	1
S09	i056	RC	1
S09	i057	RD	1
S09	i058	UC	1
S09	i059	UC	1
S09	i060	RC	1
S09	i061	RC	1
S09	i062	UD	1
S09	i063	UC	1
S09	i064	RC	1
S09	i065	RD	1
S09	i066	UD	1
S09	i067	UC	1
S09	i068	RD	1
S09	i069	UC	0
S09	i070	RD	1
S09	i071	UC	1
S09	i072	UD	1
S09	i073	RD	1
S09	i074	UC	1
S09	i075	UC	1
S09	i076	UC	1
S09	i077	RD	1
S09	i078	UD	1
S09	i079	UC	1
S09	i080	RD	1
S09	i081	UC	1
S09	i082	UC	0
S09	i083	RC	1
S09	i084	UD	1
S09	i085	UC	1
S09	i086	UD	1
S09	i087	UC	1
S09	i088	UC	0
S09	i089	RC	1
S09	i090	RD	1
S09	i091	RC	1
S09	i092	RD	1
S09	i093	UD	1
S09	i094	RC	0
S09	i095	RD	1
S09	i096	UD	1
S09	i097	UD	1
S09	i098	RC	1
S09	i099	RC	1
S09	i100	RC	1
S09	i101	UD	1
S09	i102	RD	1
S09	i103	RD	1
S09	i104	RD	1
S09	i105	RD	1
S09	i106	RC	1
S09	i107	UD	1
S09	i108	UD	1
S09	i109	UD	1
S09	i110	RD	1
S09	i111	UC	1
S09	i112	UD	0
S09	i113	UD	1
S09	i114	UD	1
S09	i115	RC	1
S09	i116	RC	1
S09	i117	UD	1
S09	i118	RC	1
S09	i119	UC	1
S09	i120	RD	1
S10	i001	RD	1
S10	i002	UC	1
S10	i003	RC	1
S10	i004	UC	1
S10	i005	UC	1
S10	i006	RC	1
S10	i007	UC	1
S10	i008	RD	1
S10	i009	UD	1
S10	i010	RD	1
S10	i011	RC	1
S10	i012	UC	1
S10	i013	RD	1
S10	i014	UD	1
S10	i015	RC	1
S10	i016	UC	1
S10	i017	RC	1
S10	i018	UC	1
S10	i019	UC	1
S10	i020	RD	1
S10	i021	RC	1
S10	i022	RD	1
S10	i023	UC	1
S10	i024	UD	1
S10	i025	RD	1
S10	i026	UC	1
S10	i027	UC	1
S10	i028	RD	1
S10	i029	RC	1
S10	i030	UD	1
S10	i031	UC	1
S10	i032	UC	1
S10	i033	RD	1
S10	i034	UD	1
S10	i035	UD	1
S10	i036	UD	1
S10	i037	UD	1
S10	i038	UD	1
S10	i039	UD	1
S10	i040	RC	1
S10	i041	RD	0
S10	i042	RC	1
S10	i043	RC	1
S10	i044	UD	1
S10	i045	RD	1
S10	i046	UD	1
S10	i047	UC	1
S10	i048	RC	1
S10	i049	UD	1
S10	i050	UD	1
S10	i051	RC	1
S10	i052	RC	1
S10	i053	UD	1
S10	i054	RD	1
S10	i055	RD	1
S10	i056	UD	1
S10	i057	UC	1
S10	i058	RC	1
S10	i059	RC	1
S10	i060	UD	1
S10	i061	UD	1
S10	i062	RD	1
S10	i063	RC	1
S10	i064	UD	1
S10	i065	UC	1
S10	i066	RD	1
S10	i067	RC	1
S10	i068	UC	1
S10	i069	RC	1
S10	i070	UC	1
S10	i071	RC	1
S10	i072	RD	0
S10	i073	UC	1
S10	i074	RC	1
S10	i075	RC	1
S10	i076	RC	1
S10	i077	UC	0
S10	i078	RD	1
S10	i079	RC	1
S10	i080	UC	1
S10	i081	RC	1
S10	i082	RC	1
S10	i083	UD	1
S10	i084	RD	1
S10	i085	RC	1
S10	i086	RD	1
S10	i087	RC	1
S10	i088	RC	1
S10	i089	UD	1
S10	i090	UC	1
S10	i091	UD	1
S10	i092	UC	1
S10	i093	RD	1
S10	i094	UD	1
S10	i095	UC	1
S10	i096	RD	1
S10	i097	RD	1
S10	i098	UD	1
S10	i099	UD	1
S10	i100	UD	1
S10	i101	RD	1
S10	i102	UC	1
S10	i103	UC	1
